Song,Artist,Language,Primary Rhythm Skill,Difficulty
Hotel California,Eagles,English,Arpeggiated Picking,Advanced
Stairway to Heaven,Led Zeppelin,English,Dynamic Picking,Advanced
Comfortably Numb,Pink Floyd,English,Expressive Bending,Advanced
Sweet Child O' Mine,Guns N' Roses,English,Alternate Picking,Intermediate
Bohemian Rhapsody,Queen,English,Melodic Lead Phrasing,Intermediate
November Rain,Guns N' Roses,English,Sustain & Bending,Advanced
Smells Like Teen Spirit,Nirvana,English,Power Chord Rhythm,Easy
Nothing Else Matters,Metallica,English,Fingerstyle Arpeggios,Intermediate
Enter Sandman,Metallica,English,Palm Muting,Intermediate
Purple Haze,Jimi Hendrix,English,Blues Rock Lead,Advanced
Layla,Eric Clapton,English,Blues Phrasing,Advanced
Sultans of Swing,Dire Straits,English,Fingerstyle Lead,Advanced
Californication,Red Hot Chili Peppers,English,Melodic Lead,Intermediate
Back in Black,AC/DC,English,Classic Rock Riffing,Easy
Highway to Hell,AC/DC,English,Rock Strumming,Easy
Wish You Were Here,Pink Floyd,English,Acoustic Lead,Easy
Time,Pink Floyd,English,Bending & Vibrato,Advanced
Paranoid,Black Sabbath,English,Fast Alternate Picking,Intermediate
Fade to Black,Metallica,English,Melodic Metal Lead,Advanced
The Trooper,Iron Maiden,English,Galloping Rhythm,Advanced
Chura Liya Hai Tumne,Asha Bhosle,Hindi,Clean Arpeggios,Intermediate
Pehla Nasha,Udit Narayan,Hindi,Melodic Lead,Intermediate
Tum Hi Ho,Arijit Singh,Hindi,Slow Lead Phrasing,Easy
Kun Faya Kun,A.R. Rahman,Hindi,Ambient Lead,Intermediate
Agar Tum Saath Ho,Alka Yagnik & Arijit Singh,Hindi,Melodic Phrasing,Intermediate
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Hindi,Expressive Lead,Intermediate
Kal Ho Naa Ho,Sonu Nigam,Hindi,Melodic Sustain,Easy
Dil Chahta Hai (Title Track),Shankar Mahadevan,Hindi,Pop Rock Strumming,Easy
Mitwa,Shankar Mahadevan,Hindi,Rhythmic Strumming,Intermediate
Senorita,"Farhan Akhtar, Hrithik Roshan, Abhay Deol",Hindi,Latin Strumming,Intermediate
Tum Se Hi,Mohit Chauhan,Hindi,Acoustic Strumming,Easy
Phir Se Ud Chala,Mohit Chauhan,Hindi,Open Chord Strumming,Easy
Ilahi,Arijit Singh,Hindi,Bright Strumming,Easy
Kabira,Tochi Raina & Rekha Bhardwaj,Hindi,Acoustic Fingerpicking,Intermediate
Zinda,Siddharth Mahadevan,Hindi,Rock Lead,Intermediate
Rock On!! (Title Track),Farhan Akhtar,Hindi,Rock Riffing,Intermediate
Dil Dhadakne Do,Priyanka Chopra & Farhan Akhtar,Hindi,Funk Strumming,Intermediate
Socha Hai,Farhan Akhtar,Hindi,Rock Rhythm,Intermediate
Tum Tak,Javed Ali,Hindi,Melodic Ornamentation,Intermediate
Jai Ho,A.R. Rahman,Hindi,Percussive Strumming,Intermediate
Wonderwall,Oasis,English,Acoustic Strumming,Easy
Hey Jude,The Beatles,English,Chord Strumming,Easy
Let It Be,The Beatles,English,Melodic Lead,Easy
While My Guitar Gently Weeps,The Beatles,English,Expressive Bending,Advanced
Beat It,Michael Jackson,English,Fast Rock Lead,Advanced
Another Brick in the Wall,Pink Floyd,English,Bluesy Lead,Intermediate
Knockin' on Heaven's Door,Guns N' Roses,English,Acoustic Strumming,Easy
Nothing Else Matters (Solo Section),Metallica,English,Legato Lead,Advanced
Livin' on a Prayer,Bon Jovi,English,Rock Lead,Intermediate
Sweet Home Alabama,Lynyrd Skynyrd,English,Country Rock Picking,Intermediate
